"[run number]","evaporation-rate","[step]","[steps] of one-of walkers"
"742","79","312","13"
"741","79","576","24"
"743","79","648","27"
"746","79","360","15"
"747","79","360","15"
"745","79","744","31"
"749","79","312","13"
"750","79","312","13"
"751","80","288","12"
"753","80","288","12"
"752","80","336","14"
"748","79","864","36"
"754","80","408","17"
"755","80","456","19"
"757","80","264","11"
"758","80","264","11"
"760","80","336","14"
"756","80","696","29"
"761","81","432","18"
"762","81","600","25"
"759","80","960","40"
"763","81","624","26"
"764","81","672","28"
"765","81","264","11"
"767","81","312","13"
"768","81","264","11"
"766","81","552","23"
"770","81","288","12"
"769","81","576","24"
"772","82","312","13"
"773","82","312","13"
"771","82","696","29"
"774","82","408","17"
"775","82","720","30"
"777","82","408","17"
"778","82","456","19"
"779","82","312","13"
"780","82","312","13"
"781","83","288","12"
"782","83","264","11"
"776","82","840","35"
"783","83","408","17"
"785","83","408","17"
"786","83","336","14"
"787","83","288","12"
"784","83","648","27"
"790","83","288","12"
"788","83","504","21"
"791","84","288","12"
"792","84","432","18"
"793","84","672","28"
"789","83","1008","42"
"795","84","432","18"
"794","84","744","31"
"796","84","312","13"
"797","84","408","17"
"798","84","456","19"
"799","84","432","18"
"800","84","408","17"
"801","85","408","17"
"802","85","504","21"
"806","85","384","16"
"803","85","792","33"
"804","85","864","36"
"805","85","624","26"
"807","85","408","17"
"808","85","312","13"
"809","85","456","19"
"811","86","264","11"
"810","85","432","18"
"812","86","408","17"
"813","86","360","15"
"815","86","312","13"
"814","86","384","16"
"819","86","264","11"
"817","86","336","14"
"816","86","648","27"
"820","86","288","12"
"818","86","528","22"
"821","87","336","14"
"822","87","384","16"
"823","87","360","15"
"824","87","264","11"
"826","87","288","12"
"825","87","456","19"
"828","87","264","11"
"829","87","264","11"
"830","87","336","14"
"827","87","600","25"
"831","88","504","21"
"833","88","336","14"
"834","88","408","17"
"832","88","720","30"
"837","88","264","11"
"836","88","384","16"
"835","88","360","15"
"840","88","288","12"
"842","89","264","11"
"839","88","792","33"
"841","89","744","31"
"838","88","984","41"
"844","89","312","13"
"843","89","528","22"
"845","89","384","16"
"846","89","384","16"
"847","89","288","12"
"849","89","264","11"
"850","89","456","19"
"848","89","768","32"
"852","90","264","11"
"851","90","576","24"
"855","90","264","11"
"856","90","624","26"
"857","90","432","18"
"854","90","912","38"
"858","90","288","12"
"860","90","336","14"
"859","90","408","17"
"853","90","1368","57"
"861","91","312","13"
"865","91","264","11"
"863","91","360","15"
"864","91","504","21"
"866","91","384","16"
"862","91","864","36"
"868","91","264","11"
"870","91","288","12"
"867","91","648","27"
"869","91","384","16"
"871","92","432","18"
"872","92","312","13"
"873","92","288","12"
"875","92","552","23"
"874","92","816","34"
"876","92","648","27"
"877","92","720","30"
"880","92","264","11"
"879","92","360","15"
"878","92","408","17"
"881","93","264","11"
"882","93","408","17"
"884","93","384","16"
"885","93","408","17"
"883","93","768","32"
"886","93","360","15"
"887","93","264","11"
"888","93","336","14"
"890","93","384","16"
"891","94","384","16"
"889","93","384","16"
"893","94","264","11"
"895","94","480","20"
"896","94","264","11"
"892","94","672","28"
"897","94","384","16"
"898","94","384","16"
"899","94","408","17"
"901","95","264","11"
"894","94","1080","45"
"900","94","528","22"
"904","95","312","13"
"903","95","504","21"
"905","95","456","19"
"906","95","336","14"
"907","95","312","13"
"902","95","936","39"
"909","95","456","19"
"908","95","648","27"
"910","95","432","18"
"911","96","504","21"
"912","96","288","12"
"913","96","264","11"
"914","96","336","14"
"917","96","504","21"
"918","96","384","16"
"916","96","768","32"
"915","96","744","31"
"920","96","360","15"
"921","97","312","13"
"919","96","672","28"
"923","97","360","15"
"922","97","312","13"
"925","97","264","11"
"926","97","480","20"
"924","97","600","25"
"928","97","408","17"
"927","97","672","28"
"930","97","264","11"
"929","97","528","22"
"931","98","408","17"
"933","98","432","18"
"932","98","528","22"
"935","98","360","15"
"934","98","528","22"
"936","98","264","11"
"937","98","288","12"
"938","98","312","13"
"939","98","264","11"
"940","98","360","15"
"942","99","336","14"
"941","99","384","16"
"943","99","360","15"
"945","99","312","13"
"946","99","264","11"
"944","99","648","27"
"947","99","360","15"
"949","99","264","11"
"950","99","288","12"
"948","99","672","28"
